id;name;images
1;Super Smash Bros. Melee;[{'url': 'https://images.start.gg/images/videogame/1/image-36450d5d1b6f2c693be2abfdbc159106.jpg?ehk=kHyxo9ZpitIjPcTdkRi6H4H8JkRXjeM5%2BousqjDV%2B%2FI%3D&ehkOptimized=CRpoBnGE8dtJkSIGcd2811UkurtlEPOKEay%2BqgCETlQ%3D'}, {'url': 'https://images.start.gg/images/videogame/1/image-5584f7c210c950a8b2bd65fbb6195f7a.png?ehk=zh8NxsAXJnb9bF8afAoE4%2Bw%2BFMB0jyoilZEtEKVXZwc%3D&ehkOptimized=fitamXYJEzDP2zNEjQkKW%2FYSWDlVsQ1OBEalHKu5CoE%3D'}]
2;Project M;[{'url': 'https://images.start.gg/images/videogame/2/image-11a8d11dbd2af24429b41b7e6a166f42.png?ehk=56H5TXtgC2wZdM7Dk%2FJqnjZdpzgqxe4qfeGJw04MUHU%3D&ehkOptimized=qZF69Z84zyRKRlTZmt45%2Fh59SrDgYRDtc3Gsgmz%2FdPc%3D'}]
3;Super Smash Bros. for Wii U;[{'url': 'https://images.start.gg/images/videogame/3/image-dd1b7f6e5e9104d65ffb6b49ac42f570.jpg?ehk=7mXPU8anZ47yRhCX3dSKrv5QV9GUKWLJZfdHEmDTt0A%3D&ehkOptimized=xrnrkLVJA60C7ZEOKMo%2BzOoEPQKJUkhffp3aMf%2Fyn4E%3D'}, {'url': 'https://images.start.gg/images/videogame/3/image-d71b4c2b68c36b6e52395bcece42b8d5.png?ehk=AEU%2F%2FVoAKuJOMJdFLKNOh0kqV8aodXZFkVgG%2Fxwxf3o%3D&ehkOptimized=6RxqxzlHu2I8yqQypvFC8usDbsVuyt4O3OHFl2%2B%2By6o%3D'}]
4;Super Smash Bros.;[{'url': 'https://images.start.gg/images/videogame/4/image-925d1f9b7c413618f064a81fea8bb4e4.jpg?ehk=fmv3KkkvX8r0F5GcmqqT%2Bm9hTLhWfmTLOEMnGM5l1fk%3D&ehkOptimized=Dlxd3nFLRm9F1cELUZlgzrqrAdyacyP%2FhgxArLCbomo%3D'}, {'url': 'https://images.start.gg/images/videogame/4/image-c3cca91c14a6d7d6a4ba78d5f81a2187.png?ehk=5WVZBeOJVGrhwRxVSOtTynu8YhmXuZOOGqBPZeSZvd0%3D&ehkOptimized=l21QmTbfNiGosvFN6XH4Pnzy6IGGDlWILaL8xufiEzo%3D'}]
5;Super Smash Bros. Brawl;[{'url': 'https://images.start.gg/images/videogame/5/image-dd443b56feac4a67e3d737d7fe671ec8.jpg?ehk=9KhOb0vmY3nUubbjExjFQccxrFZaLETPg%2Be0fTgarIc%3D&ehkOptimized=267nL8W3YQKRqWAEXf0jygt77W8xaeeUypAwr8lBkY0%3D'}, {'url': 'https://images.start.gg/images/videogame/5/image-f7dfce7d45fd7ad446ed5c1fd2d7ff0e.png?ehk=N3wvN6g807zYuVX11Sz0WrLjUron7Yuv7Po%2F3%2BLHX%2FU%3D&ehkOptimized=yK2LmRkYkC4My1qinTwIv7%2FlNKcWh9%2FcWKn7OuDb7ac%3D'}]
7;Street Fighter V: Arcade Edition;[{'url': 'https://images.start.gg/images/videogame/7/image-f9b1cfa2d5dbcef263db902afa9f511e.jpg?ehk=g93rXDw7KDtwybdigub4O1i0CL62jLo6P9izi1iSBao%3D&ehkOptimized=FLnDrHseFBcfucr5MGy%2B33BNUZb%2B65AfCVmn7PXMlxw%3D'}, {'url': 'https://images.start.gg/images/videogame/7/image-a5e7004a07207272057e7c8879e5692b.png?ehk=pzYimwvdKJJy9KmAWQNhpsQ%2BdfRN6hLTI8pkzvRSSUo%3D&ehkOptimized=6DPsu3sukD65zsb0SjCHzVmfc3mFnMIs6VXGTDzatWo%3D'}]
8;Pokkén Tournament;[{'url': 'https://images.start.gg/images/videogame/8/image-a4c8ede0ee3a77eb11f7b04967eab228.jpg?ehk=tmIJ4MSjsCJU%2Bge9yZ2EKPD0iQsfq04RlRiqKDSXQP0%3D&ehkOptimized=67Wbs6OPaKtFTPEm5lghEGDMlKoZd%2BLPd6Yzc3sFi50%3D'}, {'url': 'https://images.start.gg/images/videogame/8/image-484297207a80093ff103d5077bd92b2b.png?ehk=MZrCFhQnvfkLWlU72nIaumqTNzWVF73TAOI%2BqF8AXEY%3D&ehkOptimized=9XP4a4g9GY4c0eoSdc1E2ewF8UnOkcMc3%2FFLGS3Vj4k%3D'}]
10;League of Legends;[{'url': 'https://images.start.gg/images/videogame/10/image-e5e2b2d37605d5e106d39fe73cde0245.jpg?ehk=hl1uWz8MNX8wNekgrofDyyPKWbipkS3zmQeTftDJ968%3D&ehkOptimized=SNboWllMy%2Bp5y9wnrfI%2BNBwALLQn4EJwkxOZpUYCWf4%3D'}, {'url': 'https://images.start.gg/images/videogame/10/image-bbebfd4491245f88e950a76215abd1db.png?ehk=ZeSF2bARv806uiaWkYSoMBF%2FubotlLwTpldeqhc2rhc%3D&ehkOptimized=f7vJBsZtXg02GCZQHs7Xe91WRSlQcz6wAYj7BKWcUVM%3D'}]
11;Dota 2;[{'url': 'https://images.start.gg/images/videogame/11/image-5a2a8bf1b18f70235a6da0df14fa83ac.jpg?ehk=2F0iSuenjnrlUHEb3H4CvJhKfmwmn4zeGOddaqOMh2Y%3D&ehkOptimized=cHpEVZxizuIl4%2Fv6JDZ9QJGTghko2IiZ5cQdW8Gc2zE%3D'}, {'url': 'https://images.start.gg/images/videogame/11/image-2edaef2422a9211416c496afa37d5fa6.png?ehk=a6t%2Fml237CZz0%2BDiQfHTqv6cH%2Fzbhm7sUa4K0gXMqjU%3D&ehkOptimized=BvP%2FBOkHQCnMgO3uPNN1FaiNxGwqN649QMorkklQJhA%3D'}]
12;Counter Strike: Global Offensive;[{'url': 'https://images.start.gg/images/videogame/12/image-07a54dc4af090b9f3da50e61f4d68f19.jpg?ehk=n23R%2FdeJOOaxzOi4Jnxz5y9UAardv7Vwi5mJNjyZXnY%3D&ehkOptimized=FnUBu7c2GTy91Y0EeS0B2dpQqeLrn6jLsl0R9Dhc4X8%3D'}, {'url': 'https://images.start.gg/images/videogame/12/image-a2c599b9fc991e733ef121d82faf075d.png?ehk=VshlbONck2Bs2wT%2Figt2%2BSUqro0sR3eGhZGMkN2MfIA%3D&ehkOptimized=PyKHGoHHrjhZBEwYrIlZxSJCWN4Hr4Lf%2FTvaOuIdLrE%3D'}]
